Node Number,Normal Elastic Strain (mm/mm)
4537,-3.24E-04
4538,-1.35E-04
4539,1.00E-04
4540,5.04E-05
4541,5.57E-05
4542,-2.94E-06
4543,-3.91E-05
4544,1.84E-05
4545,2.52E-05
4546,-1.65E-04
4547,2.19E-05
4548,-1.86E-05
4549,2.02E-05
4550,1.60E-04
4551,-1.81E-05
4552,2.74E-05
4553,1.48E-05
4554,2.07E-06
4555,5.24E-06
4556,2.68E-06
4557,5.77E-06
4558,1.72E-06
4559,4.26E-06
4560,-6.32E-06
4561,3.62E-06
4562,2.08E-06
4563,1.22E-06
4564,1.13E-06
4565,5.61E-06
4566,3.92E-06
4567,6.50E-07
4568,2.68E-05
4569,-2.10E-05
4570,1.67E-05
4571,-1.16E-06
4572,2.82E-05
4573,8.04E-06
4574,1.96E-05
4575,2.50E-05
4576,3.14E-05
4577,2.99E-05
4578,1.52E-05
4579,1.09E-05
4580,-3.86E-07
4581,-3.68E-05
4582,7.08E-06
4583,-1.76E-06
4584,-1.92E-07
4585,1.41E-05
4586,6.54E-06
4587,2.59E-06
4588,4.68E-06
4589,4.17E-07
4590,-1.81E-05
4591,2.76E-07
4592,9.47E-06
4593,8.59E-07
4594,6.19E-07
4595,5.45E-06
4596,-1.67E-05
4597,7.89E-06
4598,2.35E-06
4599,-6.84E-07
4600,-2.12E-06
4601,2.55E-05
4602,3.04E-05
4603,5.87E-06
4604,4.37E-07
4605,2.41E-05
4606,-2.12E-06
4607,-1.36E-06
4608,-9.00E-06
4609,7.44E-06
4610,4.33E-06
4611,4.34E-06
4612,1.36E-06
4613,1.58E-07
4614,-9.23E-06
4615,-2.29E-05
4616,-4.88E-07
4617,-2.41E-06
4618,-9.86E-07
4619,-1.83E-06
4620,-3.14E-05
4621,2.22E-06
4622,7.68E-06
4623,1.69E-05
4624,5.77E-07
4625,1.09E-06
4626,2.70E-06
4627,-1.28E-06
4628,2.80E-06
4629,1.46E-05
4630,6.68E-07
4631,1.21E-06
4632,6.21E-06
4633,5.31E-07
4634,1.40E-06
4635,-2.74E-07
4636,2.82E-05
4637,2.54E-05
4638,-1.12E-05
4639,-1.15E-06
4640,7.26E-07
4641,2.23E-05
4642,-1.60E-06
4643,-1.27E-06
4644,3.74E-06
4645,-6.37E-06
4646,-2.82E-07
4647,-3.31E-07
4648,5.10E-07
4649,-1.66E-07
4650,-1.77E-08
4651,1.71E-05
4652,7.35E-07
4653,-1.39E-06
4654,-7.47E-07
4655,-6.57E-07
4656,-3.80E-08
4657,2.66E-07
4658,2.23E-07
4659,-3.52E-07
4660,-1.32E-07
4661,1.12E-08
4662,1.22E-06
4663,-4.33E-07
4664,2.73E-06
4665,2.09E-06
4666,-1.22E-06
4667,3.10E-05
4668,2.72E-05
4669,2.62E-07
4670,-8.49E-07
4671,1.02E-05
4672,2.15E-05
4673,5.25E-06
4674,2.91E-06
4675,9.80E-10
4676,1.38E-06
4677,4.51E-06
4678,6.97E-06
4679,6.08E-06
4680,7.85E-06
4681,5.75E-06
4682,1.15E-05
4683,7.37E-06
4684,2.95E-05
4685,1.24E-05
4686,1.00E-06
4687,1.70E-06
4688,1.01E-05
4689,6.82E-06
4690,8.43E-06
4691,7.77E-06
4692,3.53E-06
4693,4.08E-06
4694,1.28E-05
4695,1.17E-05
4696,1.29E-05
4697,7.82E-06
4698,2.03E-06
4699,6.36E-07
4700,4.08E-06
4701,4.66E-06
4702,5.66E-06
4703,4.10E-06
4704,1.14E-05
4705,2.39E-05
4706,3.15E-06
4707,1.40E-05
4708,5.18E-06
4709,2.95E-05
4710,2.33E-05
4711,4.12E-06
4712,3.22E-06
4713,3.26E-05
4714,-1.50E-07
4715,-9.80E-07
4716,-1.86E-06
4717,-4.37E-06
4718,-3.20E-06
4719,3.44E-05
4720,1.79E-05
4721,8.75E-06
4722,-1.76E-06
4723,1.17E-06
4724,-3.28E-06
4725,-3.04E-07
4726,-1.33E-06
4727,1.77E-06
4728,4.16E-06
4729,1.39E-05
4730,2.87E-05
4731,-2.98E-06
4732,-6.24E-06
4733,2.18E-05
4734,2.99E-05
4735,3.54E-06
4736,1.48E-05
4737,-7.58E-06
4738,3.46E-05
4739,3.88E-05
4740,-6.50E-06
4741,-6.53E-06
4742,2.36E-05
4743,1.25E-05
4744,-4.38E-06
4745,2.70E-06
4746,3.48E-05
4747,-6.59E-06
4748,2.88E-05
4749,1.58E-05
4750,4.19E-06
4751,-6.47E-06
4752,4.29E-05
4753,3.68E-05
4754,-8.71E-06
4755,4.76E-06
4756,2.74E-05
4757,3.80E-05
4758,3.97E-05
4759,4.55E-05
4760,3.39E-05
4761,-1.01E-05
4762,1.95E-05
4763,5.78E-06
4764,-9.38E-06
4765,-7.40E-06
4766,-1.19E-05
4767,4.75E-05
4768,6.70E-06
4769,2.07E-05
4770,3.74E-05
4771,5.25E-05
4772,4.11E-05
4773,3.69E-05
4774,1.78E-05
4775,2.40E-05
4776,7.78E-06
4777,4.49E-06
4778,1.13E-06
4779,6.64E-06
4780,6.42E-06
4781,5.05E-05
4782,5.54E-05
4783,-1.10E-05
4784,-8.66E-06
4785,-1.43E-05
4786,-1.43E-05
4787,5.74E-05
4788,4.67E-05
4789,3.55E-05
4790,1.36E-05
4791,2.90E-05
4792,-2.46E-06
4793,9.82E-06
4794,-9.30E-06
4795,-1.36E-05
4796,-1.72E-05
4797,5.68E-05
4798,-1.80E-05
4799,6.53E-05
4800,5.32E-05
4801,3.26E-05
4802,8.44E-06
4803,3.55E-05
4804,-1.07E-05
4805,-2.17E-05
4806,-7.08E-06
4807,1.23E-05
4808,5.87E-05
4809,7.21E-05
4810,-2.27E-05
4811,2.80E-05
4812,2.45E-06
4813,6.27E-05
4814,3.98E-05
4815,-1.18E-05
4816,-1.84E-05
4817,-2.42E-05
4818,-1.23E-05
4819,6.08E-05
4820,1.51E-05
4821,1.82E-05
4822,4.81E-05
4823,-2.75E-05
4824,8.09E-05
4825,7.42E-05
4826,8.46E-05
4827,2.16E-05
4828,-2.86E-06
4829,-1.25E-05
4830,-2.19E-05
4831,-2.69E-05
4832,6.20E-05
4833,9.06E-05
4834,-1.65E-05
4835,2.21E-05
4836,5.51E-05
4837,-3.06E-05
4838,-1.32E-05
4839,8.41E-05
4840,9.20E-05
4841,9.59E-05
4842,1.55E-05
4843,-7.98E-06
4844,5.82E-05
4845,-2.15E-05
4846,-3.03E-05
4847,6.23E-05
4848,-2.12E-05
4849,2.64E-05
4850,-1.04E-05
4851,-3.33E-05
4852,9.71E-05
4853,8.96E-05
4854,1.02E-04
4855,5.38E-05
4856,9.50E-06
4857,-3.06E-05
4858,-1.21E-05
4859,7.06E-05
4860,-2.29E-05
4861,-7.86E-06
4862,3.17E-05
4863,-3.28E-05
4864,5.36E-05
4865,6.62E-06
4866,-2.97E-05
4867,-3.36E-05
4868,8.80E-05
4869,9.88E-05
4870,9.82E-05
4871,-1.53E-05
4872,7.52E-05
