Node Number,Total Deformation (mm)
4537,8.30E-03
4538,6.33E-03
4539,8.91E-03
4540,4.56E-03
4541,5.68E-03
4542,2.75E-03
4543,1.30E-02
4544,9.67E-03
4545,5.22E-03
4546,1.18E-02
4547,1.83E-02
4548,9.45E-03
4549,8.00E-03
4550,2.06E-03
4551,2.81E-03
4552,3.61E-03
4553,1.01E-02
4554,1.428
4555,1.3965
4556,1.4161
4557,1.3981
4558,1.4268
4559,1.4162
4560,1.4358
4561,1.4376
4562,1.3891
4563,1.432
4564,1.413
4565,1.3432
4566,1.3638
4567,1.4377
4568,1.3538
4569,1.4506
4570,1.4084
4571,1.4388
4572,1.3506
4573,1.4111
4574,1.3907
4575,1.3813
4576,1.3138
4577,1.3136
4578,1.3037
4579,1.3396
4580,1.3852
4581,1.4508
4582,1.4436
4583,1.3807
4584,1.4327
4585,1.3069
4586,1.4463
4587,1.4493
4588,1.3008
4589,1.3349
4590,1.4686
4591,1.3578
4592,1.3919
4593,1.4484
4594,1.4275
4595,1.4196
4596,1.4506
4597,1.4497
4598,1.4504
4599,1.4202
4600,1.3847
4601,1.2664
4602,1.2702
4603,1.4485
4604,1.4424
4605,1.265
4606,1.34
4607,1.3301
4608,1.451
4609,1.2985
4610,1.3342
4611,1.379
4612,1.3021
4613,1.3412
4614,1.4304
4615,1.4496
4616,1.4405
4617,1.4517
4618,1.2964
4619,1.3014
4620,1.4611
4621,1.4626
4622,1.2557
4623,1.2594
4624,1.3874
4625,1.4081
4626,1.42
4627,1.4457
4628,1.4479
4629,1.2608
4630,1.4312
4631,1.4268
4632,1.2604
4633,1.4342
4634,1.4478
4635,1.4374
4636,1.2211
4637,1.2155
4638,1.4449
4639,1.311
4640,1.2649
4641,1.2168
4642,1.3901
4643,1.3577
4644,1.2577
4645,1.4586
4646,1.405
4647,1.4247
4648,1.4355
4649,1.4377
4650,1.434
4651,1.2085
4652,1.4443
4653,1.4388
4654,1.3398
4655,1.3877
4656,1.4169
4657,1.4247
4658,1.2936
4659,1.4175
4660,1.4285
4661,1.4311
4662,1.2721
4663,1.3199
4664,1.4238
4665,1.4192
4666,1.438
4667,1.1701
4668,1.165
4669,1.4108
4670,1.3685
4671,1.2103
4672,1.1607
4673,1.2805
4674,1.3262
4675,1.3743
4676,1.2608
4677,1.2124
4678,1.2218
4679,1.2309
4680,1.3735
4681,1.3606
4682,1.1704
4683,1.1787
4684,1.1685
4685,1.2164
4686,1.3848
4687,1.3985
4688,1.2938
4689,1.3384
4690,1.3647
4691,1.2458
4692,1.3391
4693,1.1963
4694,1.3519
4695,1.3755
4696,1.3199
4697,1.2777
4698,1.2979
4699,1.2457
4700,1.2607
4701,1.2636
4702,1.269
4703,1.3091
4704,1.373
4705,1.1673
4706,1.3249
4707,1.1625
4708,1.1633
