Node Number,Equivalent (von-Mises) Stress (MPa)
4537,8.1889
4538,5.2015
4539,7.5306
4540,4.6555
4541,2.0211
4542,5.51
4543,1.417
4544,0.76033
4545,1.688
4546,10.634
4547,0.94608
4548,3.4652
4549,0.45528
4550,3.2998
4551,2.7965
4552,1.7682
4553,1.1904
4554,7.01E-02
4555,9.71E-02
4556,4.95E-02
4557,0.10774
4558,0.15789
4559,8.99E-02
4560,0.3069
4561,9.05E-02
4562,5.30E-02
4563,2.62E-02
4564,2.73E-02
4565,0.1124
4566,8.02E-02
4567,2.06E-02
4568,0.44444
4569,0.69885
4570,0.39137
4571,0.62072
4572,0.50478
4573,0.15869
4574,0.34824
4575,0.43572
4576,0.84822
4577,0.74559
4578,0.55404
4579,0.20268
4580,4.59E-02
4581,4.7251
4582,0.20223
4583,5.61E-02
4584,2.92E-02
4585,0.47599
4586,0.12604
4587,5.04E-02
4588,0.35169
4589,6.85E-02
4590,3.5223
4591,4.20E-02
4592,0.18958
4593,2.04E-02
4594,0.16914
4595,0.12767
4596,0.72748
4597,0.16346
4598,4.45E-02
4599,2.93E-02
4600,6.44E-02
4601,1.3632
4602,1.4023
4603,0.37055
4604,1.64E-02
4605,1.319
4606,7.31E-02
4607,6.29E-02
4608,3.4812
4609,0.36245
4610,8.48E-02
4611,8.58E-02
4612,0.13622
4613,3.11E-02
4614,0.25976
4615,0.57377
4616,4.67E-02
4617,0.20658
4618,0.18645
4619,0.13237
4620,4.6378
4621,1.0393
4622,0.87108
4623,1.1931
4624,2.66E-02
4625,2.89E-02
4626,6.67E-02
4627,0.42193
4628,0.1212
4629,0.94167
4630,6.42E-02
4631,7.39E-02
4632,0.6793
4633,4.81E-02
4634,5.00E-02
4635,3.84E-02
4636,1.6785
4637,1.6589
4638,0.43108
4639,5.82E-02
4640,0.43097
4641,1.7073
4642,5.97E-02
4643,4.33E-02
4644,0.44415
4645,0.59891
4646,1.92E-02
4647,1.19E-02
4648,2.81E-02
4649,1.53E-02
4650,7.59E-03
4651,1.2018
4652,0.12288
4653,0.147
4654,0.10389
4655,7.89E-02
4656,1.77E-02
4657,3.05E-02
4658,0.14856
4659,1.72E-02
4660,1.26E-02
4661,2.67E-02
4662,0.29984
4663,8.83E-02
4664,0.14519
4665,7.56E-02
4666,0.10074
4667,1.9017
4668,1.7812
4669,8.09E-02
4670,4.91E-02
4671,0.70132
4672,1.3458
4673,0.29737
4674,0.12011
4675,5.05E-02
4676,0.19208
4677,0.27247
4678,0.66398
4679,0.39379
4680,0.17595
4681,0.16482
4682,0.9431
4683,0.49947
4684,1.8853
4685,1.1826
4686,5.78E-02
4687,7.12E-02
4688,0.33017
4689,0.17758
4690,0.18636
4691,0.32378
4692,0.16006
4693,0.20855
4694,0.24023
4695,0.19908
4696,0.3006
4697,0.26843
4698,0.1601
4699,5.23E-02
4700,0.16738
4701,0.18577
4702,0.21758
4703,0.10381
4704,0.19669
4705,1.6436
4706,5.87E-02
4707,0.80027
4708,0.28024
4709,1.8267
4710,1.3793
4711,0.11359
4712,0.17664
4713,1.9374
4714,9.93E-02
4715,8.63E-02
4716,0.13314
4717,0.24458
4718,0.19324
4719,2.0234
4720,1.2677
4721,0.60774
4722,0.10162
4723,7.13E-02
4724,0.18775
4725,6.16E-02
4726,9.99E-02
4727,9.49E-02
4728,0.24299
4729,0.80469
4730,1.8216
4731,0.18973
4732,0.35895
4733,1.2503
4734,1.7599
4735,0.20576
4736,0.83029
4737,0.44947
4738,1.9915
4739,2.169
4740,0.3567
4741,0.39941
4742,1.5063
4743,0.78089
4744,0.26449
4745,0.15655
4746,2.0835
4747,0.38464
4748,1.7381
4749,0.93803
4750,0.23655
4751,0.38245
4752,2.4516
4753,2.156
4754,0.49656
4755,0.2776
4756,1.582
4757,2.1554
4758,2.3444
4759,2.6614
4760,1.9979
4761,0.57118
4762,1.1388
4763,0.31945
4764,0.53951
4765,0.44511
4766,0.67682
4767,2.7004
4768,0.39888
4769,1.1772
4770,2.1126
4771,3.036
4772,2.3772
4773,2.1046
